1  1  1.00000000
2  1  0.23503777
6  1  0.05775686
7  1  0.05775688
8  1  0.05775688
1  2  0.23503777
2  2  1.00000000
6  2  0.49191690
7  2  0.49191700
8  2  0.49191700
3  3  1.00000000
4  4  1.00000000
5  5  1.00000000
6  4  0.40485649
6  5  -0.16728677
7  3  0.35061614
7  4  -0.20242809
7  5  -0.16728681
8  3  -0.35061614
8  4  -0.20242809
8  5  -0.16728681
1  6  0.05775686
2  6  0.49191690
4  6  0.40485649
5  6  -0.16728677
6  6  1.00000000
7  6  0.21318691
8  6  0.21318691
1  7  0.05775688
2  7  0.49191700
3  7  0.35061614
4  7  -0.20242809
5  7  -0.16728681
6  7  0.21318691
7  7  1.00000000
8  7  0.21318673
1  8  0.05775688
2  8  0.49191700
3  8  -0.35061614
4  8  -0.20242809
5  8  -0.16728681
6  8  0.21318691
7  8  0.21318673
8  8  1.00000000
