1  1  -47.74727569
2  1  -5.79991374
5  1  0.01797733
6  1  -1.46171528
7  1  -1.46171586
8  1  -1.46171586
1  2  -5.79991374
2  2  -8.39267249
4  2  -0.00000011
5  2  0.20675441
6  2  -3.43358781
7  2  -3.43358865
8  2  -3.43358865
1  5  0.01797733
2  4  -0.00000011
2  5  0.20675441
3  3  -8.37344233
4  4  -8.37344211
5  4  0.00000002
4  5  0.00000002
5  5  -8.26439140
6  4  -2.56605061
6  5  1.12245820
7  3  -2.22226600
7  4  1.28302431
7  5  1.12245857
8  3  2.22226600
8  4  1.28302431
8  5  1.12245857
1  6  -1.46171528
2  6  -3.43358781
4  6  -2.56605061
5  6  1.12245820
6  6  -5.41359696
7  6  -1.26669529
8  6  -1.26669529
1  7  -1.46171586
2  7  -3.43358865
3  7  -2.22226600
4  7  1.28302431
5  7  1.12245857
6  7  -1.26669529
7  7  -5.41359737
8  7  -1.26669444
1  8  -1.46171586
2  8  -3.43358865
3  8  2.22226600
4  8  1.28302431
5  8  1.12245857
6  8  -1.26669529
7  8  -1.26669444
8  8  -5.41359737
