1  1  21.99075314
2  1  -0.12841638
6  1  -0.00645012
7  1  -0.00645011
8  1  -0.00645011
1  2  -0.12841638
2  2  0.60699388
6  2  0.12099966
7  2  0.12099972
8  2  0.12099972
3  3  1.89935805
4  4  1.89935805
5  5  1.89935805
6  4  0.25939914
6  5  -0.10718377
7  3  0.22464640
7  4  -0.12969951
7  5  -0.10718383
8  3  -0.22464640
8  4  -0.12969951
8  5  -0.10718383
1  6  -0.00645012
2  6  0.12099966
4  6  0.25939914
5  6  -0.10718377
6  6  0.76003188
7  6  0.00084585
8  6  0.00084585
1  7  -0.00645011
2  7  0.12099972
3  7  0.22464640
4  7  -0.12969951
5  7  -0.10718383
6  7  0.00084585
7  7  0.76003188
8  7  0.00084582
1  8  -0.00645011
2  8  0.12099972
3  8  -0.22464640
4  8  -0.12969951
5  8  -0.10718383
6  8  0.00084585
7  8  0.00084582
8  8  0.76003188
